代码,名称,最新价,涨跌幅%,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率,总分
003026,中晶科技,35.31,0.37,10.0,10.0,10.0,8.0,10.0,0.0,5.0,3.0,10.0,76.8
300026,红日药业,3.69,0.27,6.0,10.0,7.0,6.0,8.0,5.0,8.0,10.0,8.0,74.5
002982,湘佳股份,14.8,2.21,7.0,10.0,7.0,8.0,8.0,0.0,8.0,8.0,10.0,73.6
002838,道恩股份,29.16,1.32,7.0,2.0,10.0,8.0,10.0,10.0,8.0,3.0,8.0,73.4
000507,珠海港,5.61,1.08,10.0,7.0,10.0,8.0,10.0,0.0,5.0,3.0,10.0,73.2
300080,易成新能,5.47,3.8,7.0,7.0,7.0,8.0,10.0,0.0,8.0,8.0,10.0,72.0
300010,豆神教育,7.53,3.29,6.0,7.0,7.0,4.0,6.0,10.0,8.0,8.0,10.0,71.7
000570,苏常柴Ａ,6.11,1.5,6.0,10.0,7.0,8.0,10.0,0.0,5.0,8.0,10.0,71.4
605050,福然德,13.74,1.93,10.0,7.0,10.0,8.0,10.0,0.0,5.0,3.0,8.0,71.2
603993,洛阳钼业,23.99,4.17,7.0,2.0,10.0,6.0,10.0,10.0,8.0,3.0,8.0,71.0
