排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,601677,明泰铝业,79.5,17.09,2.77,16.17,-5.4%,17.78,+4.0%,18.5,+8.3%,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,8.0,10.0,0.0,8.0,3.0,10.0
2,001212,中旗新材,74.7,54.56,3.92,50.21,-8.0%,57.82,+6.0%,61.08,+12.0%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,7.0,10.0,0.0,3.0,8.0,10.0
3,000928,中钢国际,73.2,7.21,1.98,6.83,-5.3%,7.49,+3.9%,7.77,+7.8%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,8.0,10.0,0.0,5.0,3.0,10.0
4,600888,新疆众和,71.7,9.17,0.22,8.51,-7.2%,9.67,+5.5%,10.16,+10.8%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 筹码尚可,9.0,5.0,10.0,6.0,8.0,5.0,8.0,2.0,10.0
5,000875,电投绿能,69.3,7.84,4.53,7.05,-10.1%,8.43,+7.5%,9.03,+15.2%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 筹码尚可,10.0,7.0,10.0,5.0,7.0,0.0,8.0,3.0,10.0
6,002051,中工国际,68.5,8.96,0.9,8.57,-4.4%,9.25,+3.2%,9.54,+6.5%,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,7.0,7.0,9.0,10.0,0.0,5.0,3.0,8.0
7,601600,中国铝业,67.8,14.45,3.44,13.23,-8.4%,15.36,+6.3%,16.27,+12.6%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 筹码尚可,10.0,7.0,10.0,5.0,10.0,0.0,3.0,3.0,10.0
8,600885,宏发股份,67.7,30.96,1.51,28.91,-6.6%,32.49,+4.9%,34.03,+9.9%,均线多头 | MACD偏多 | 量价配合 | 筹码尚可,9.0,5.0,10.0,6.0,6.0,5.0,8.0,2.0,8.0
9,300761,立华股份,67.5,20.83,1.12,19.7,-5.4%,21.68,+4.1%,22.52,+8.1%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,7.0,10.0,0.0,0.0,3.0,10.0
10,601666,平煤股份,67.5,9.13,1.56,8.46,-7.3%,9.63,+5.5%,10.14,+11.1%,均线多头 | MACD偏多 | 温和放量 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,7.0,8.0,10.0,0.0,0.0,6.0,10.0
