排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,移动止损触发价,移动止损价,移动止损%,ATR止损系数,信号摘要,均线趋势,MACD,成交量,筹码分布,相对低位,动量,布林带,RSI,KDJ,换手率
1,002322,理工能科,79.4,14.81,2.78,13.82,-6.7%,15.74,+6.3%,16.67,+12.6%,15.74,15.31,+3.4%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,9.0,2,10.0,0.0,8.0,3.0,10.0
2,000001,平安银行,77.4,11.02,0.73,10.69,-3.0%,11.28,+2.4%,11.54,+4.7%,11.28,11.16,+1.3%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 横向相对低位,8.0,7.0,6.0,10.0,9,8.0,0.0,8.0,3.0,0.0
3,002245,蔚蓝锂芯,72.7,17.79,2.24,16.69,-6.2%,18.83,+5.8%,19.88,+11.7%,18.83,18.35,+3.1%,1.6,均线偏多 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 位置尚可,7.0,10.0,7.0,7.0,6,7.0,10.0,5.0,5.0,10.0
4,002468,申通快递,72.1,15.26,2.35,14.27,-6.5%,16.19,+6.1%,17.11,+12.1%,16.19,15.75,+3.2%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,7.0,7.0,9.0,2,7.0,0.0,0.0,3.0,10.0
5,002246,北化股份,70.7,25.5,2.49,22.86,-10.4%,27.98,+9.7%,30.46,+19.5%,27.98,26.82,+5.2%,1.6,均线多头 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,2.0,10.0,8.0,2,10.0,0.0,8.0,5.0,10.0
6,002213,大为股份,69.8,30.67,2.88,27.27,-11.1%,33.22,+8.3%,35.77,+16.6%,33.22,32.03,+4.4%,2.0,均线多头 | MACD偏多 | 温和放量 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,7.0,8.0,2,10.0,0.0,3.0,8.0,3.0
7,002393,力生制药,68.4,23.83,1.71,22.48,-5.7%,25.09,+5.3%,26.36,+10.6%,25.09,24.5,+2.8%,1.6,均线多头 | MACD偏多 | 涨势良好 | 上方筹码稀疏,10.0,7.0,3.0,9.0,2,7.0,0.0,3.0,3.0,5.0
8,002329,皇氏集团,67.9,4.15,1.97,3.87,-6.7%,4.36,+5.1%,4.57,+10.1%,4.36,4.26,+2.7%,2.0,均线多头 | MACD偏多 | 涨势良好 | 上方筹码稀疏 | 位置尚可,10.0,7.0,3.0,7.0,6,7.0,0.0,3.0,3.0,0.0
9,002181,粤 传 媒,64.3,11.54,1.14,10.45,-9.4%,12.36,+7.1%,13.18,+14.2%,12.36,11.98,+3.8%,2.0,均线多头 | MACD偏多 | 涨势良好 | 上方筹码稀疏,10.0,7.0,3.0,7.0,3,7.0,0.0,0.0,3.0,5.0
10,002753,永东股份,64.2,7.84,3.29,7.31,-6.8%,8.34,+6.4%,8.84,+12.8%,8.34,8.11,+3.4%,1.6,均线偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,7.5,2.0,6.0,8.0,3,7.0,10.0,8.0,5.0,5.0
