推荐日期,代码,名称,推荐价,买入价(复权),最新价,持有交易日,阶段涨跌%,阶段最大回撤%,后5日涨跌%,后10日涨跌%,后5日最大回撤%,P_up_5,P_dd_5,P_up_10,TrendScore,建议动作,说明
2026-03-29,002468,申通快递,15.26,14.99,14.99,0,0.0,0.0,,,,0.851,0.120,0.826,0.553,继续观察（上移止损）,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-26,002840,华统股份,10.98,10.98,11.41,2,3.92,0.0,,,,0.824,0.202,0.761,0.500,继续观察（上移止损）,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-30,603565,中谷物流,11.53,11.53,11.53,0,0.0,0.0,,,,0.755,0.245,0.632,0.424,减仓/退出,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-25,002460,赣锋锂业,70.63,70.63,80.15,3,13.48,0.0,,,,0.756,0.335,0.638,0.399,减仓/退出,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-25,002466,天齐锂业,53.46,53.46,57.24,3,7.07,-1.24,,,,0.682,0.257,0.612,0.383,减仓/退出,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-29,002322,理工能科,14.81,14.53,14.53,0,0.0,0.0,,,,0.684,0.289,0.614,0.375,减仓/退出,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-25,002322,理工能科,14.51,14.51,14.53,3,0.14,-1.89,,,,0.684,0.289,0.614,0.375,减仓/退出,短线续涨概率偏高 | 中期趋势延续偏强
2026-03-30,603196,璞源材料,27.49,27.49,27.49,0,0.0,0.0,,,,0.673,0.285,0.590,0.365,减仓/退出,短线续涨概率偏高
2026-03-29,002245,蔚蓝锂芯,17.79,17.98,17.98,0,0.0,0.0,,,,0.649,0.276,0.596,0.358,减仓/退出,短线续涨概率偏高
2026-03-26,603071,物产环能,15.06,15.06,14.68,2,-2.52,-2.52,,,,0.653,0.271,0.579,0.357,减仓/退出,短线续涨概率偏高
2026-03-30,603222,济民健康,9.11,9.11,9.11,0,0.0,0.0,,,,0.596,0.258,0.565,0.332,减仓/退出,趋势中性
2026-03-26,600795,国电电力,5.11,5.11,4.9,2,-4.11,-4.11,,,,0.469,0.282,0.533,0.260,减仓/退出,趋势中性
